Video analysis detailed log

Face Model:	General
Calibration:	Calibration 1
Start time:	08/12/2023 11:19:20.221
Filename:	\Recorded Videos\Participant 4_Analysis 1_20231208_111920.avi
Frame rate:	15

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted
00:00:00.000	0.989964700	0.003106802	0.000000000	0.000000000	0.018468600	0.000139354	0.000000148
00:00:00.066	0.990314400	0.003419289	0.000000000	0.000000000	0.017802650	0.000128250	0.000000112
00:00:00.133	0.990811700	0.003549702	0.000000000	0.000000000	0.016856750	0.000129785	0.000000111
00:00:00.200	0.990863000	0.003589552	0.000000000	0.000000000	0.016823850	0.000136946	0.000000106
00:00:00.266	0.990888900	0.003742828	0.000000000	0.000000000	0.016825670	0.000138162	0.000000088
00:00:00.333	0.990961100	0.004059873	0.000000000	0.000000000	0.016759260	0.000140593	0.000000073
00:00:00.400	0.990657300	0.004120069	0.002472211	0.000000000	0.015580310	0.000141646	0.000000060
00:00:00.466	0.990968000	0.004180141	0.002035848	0.000000000	0.015294450	0.000138243	0.000000049
00:00:00.533	0.990597400	0.004323840	0.004117138	0.000000000	0.014675800	0.000137328	0.000000041
00:00:00.600	0.990734900	0.004324731	0.003251567	0.000000000	0.014956580	0.000134351	0.000000032
00:00:00.666	0.990397600	0.004469855	0.002661691	0.000000000	0.015976360	0.000140387	0.000000026
00:00:00.733	0.990767700	0.004672735	0.002224853	0.000000000	0.015551700	0.000134570	0.000000022
00:00:00.800	0.990921000	0.004752585	0.001762303	0.000000000	0.015623260	0.000132686	0.000000017
00:00:00.866	0.990994000	0.004742505	0.001508734	0.000000000	0.015656040	0.000128765	0.000000015
00:00:00.933	0.990892100	0.004756125	0.001253505	0.000000000	0.016048510	0.000120004	0.000000012
00:00:01.000	0.991122600	0.004659165	0.001014018	0.000000000	0.015782870	0.000113001	0.000000010
00:00:01.066	0.990992100	0.004325512	0.003757606	0.000000000	0.014074900	0.000111736	0.000000008
00:00:01.133	0.985774500	0.004096116	0.016118370	0.000000000	0.012841040	0.000102808	0.000000007
00:00:01.200	0.978746500	0.003801536	0.031986930	0.000000000	0.011297590	0.000093931	0.000000005
00:00:01.266	0.970753700	0.003656283	0.048994420	0.000000000	0.010236160	0.000086055	0.000000005
00:00:01.333	0.963085900	0.003277536	0.065509180	0.000000000	0.008822316	0.000083004	0.000000004
00:00:01.400	0.947436600	0.002882067	0.097516510	0.000000000	0.007373990	0.000080410	0.000000003
