Video analysis detailed log

Face Model:	General
Calibration:	None
Start time:	08/12/2023 11:01:24.935
Filename:	\Recorded Videos\Participant 2_Analysis 1_20231208_110124.avi
Frame rate:	15

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted
00:00:00.000	0.681827900	0.005556822	0.000143899	0.000001090	0.630613200	0.000175543	0.000014019
00:00:00.066	0.661413600	0.005646402	0.000141326	0.000001029	0.670570300	0.000194637	0.000013289
00:00:00.133	0.645718900	0.005713764	0.000140310	0.000000943	0.701053800	0.000219854	0.000013387
00:00:00.200	0.624454900	0.006751295	0.000191860	0.000001041	0.739740100	0.000234917	0.000011121
00:00:00.266	0.607673900	0.007428033	0.000206847	0.000001074	0.771937600	0.000245230	0.000009776
00:00:00.333	0.594654300	0.007794950	0.000202973	0.000001244	0.796210600	0.000255140	0.000008649
00:00:00.400	0.575200700	0.008233152	0.000193981	0.000001174	0.832939400	0.000289495	0.000007363
00:00:00.466	0.564914100	0.008177317	0.000187254	0.000001126	0.850276200	0.000316241	0.000006836
00:00:00.533	0.557523300	0.008416159	0.000198279	0.000001129	0.864302900	0.000322141	0.000005991
00:00:00.600	0.546602500	0.008256447	0.000191710	0.000001052	0.882130100	0.000366972	0.000005507
00:00:00.666	0.540099000	0.007794491	0.000210061	0.000001105	0.888635000	0.000481345	0.000004858
00:00:00.733	0.521049000	0.007275862	0.000206214	0.000001191	0.899078300	0.000661838	0.000004303
00:00:00.800	0.503020300	0.006556896	0.000198731	0.000001142	0.914286900	0.000866912	0.000003662
00:00:00.866	0.491260300	0.006121133	0.000195337	0.000001241	0.922076400	0.000961679	0.000003255
00:00:00.933	0.480320300	0.005451823	0.000198614	0.000001268	0.930075200	0.001137759	0.000002766
00:00:01.000	0.471343000	0.005089308	0.000200601	0.000001289	0.935191000	0.001222099	0.000002458
00:00:01.066	0.467377100	0.004813064	0.000199580	0.000001175	0.941324800	0.001377000	0.000002308
00:00:01.133	0.462341700	0.004556242	0.000198316	0.000001341	0.943855100	0.001399713	0.000002044
00:00:01.200	0.454219500	0.004448041	0.000193760	0.000001272	0.950516600	0.001479295	0.000001844
00:00:01.266	0.446631600	0.004431990	0.000192030	0.000001230	0.953903800	0.001555406	0.000001706
00:00:01.333	0.433003200	0.004398698	0.000203592	0.000001163	0.958278600	0.001600913	0.000001519
00:00:01.400	0.424730600	0.004322088	0.000216897	0.000001254	0.958339900	0.001662204	0.000001379
