Video analysis detailed log

Face Model:	General
Calibration:	None
Start time:	08/12/2023 11:04:49.006
Filename:	\Recorded Videos\Participant 2_Analysis 2_20231208_110449.avi
Frame rate:	15

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted
00:00:00.000	0.679418100	0.000127038	0.050185900	0.000000193	0.004007403	0.000329758	0.000074329
00:00:00.066	0.715406800	0.000713063	0.078130630	0.000000155	0.005942176	0.000258693	0.000127911
00:00:00.133	0.729139700	0.001716970	0.069537320	0.000000312	0.043016210	0.000221780	0.000109336
00:00:00.200	0.724657500	0.003761341	0.061740130	0.000000503	0.128191800	0.000188299	0.000090365
00:00:00.266	0.675736500	0.004759006	0.051191670	0.000001340	0.287077200	0.000163575	0.000070776
00:00:00.333	0.634186100	0.005416261	0.044856930	0.000002297	0.411876100	0.000148112	0.000055915
00:00:00.400	0.612021300	0.006202140	0.040883430	0.000002769	0.489006100	0.000144486	0.000047032
00:00:00.466	0.592423300	0.006797998	0.036101270	0.000003024	0.557103900	0.000155954	0.000039849
00:00:00.533	0.552422800	0.007068600	0.028935140	0.000003247	0.645306900	0.000239992	0.000031216
00:00:00.600	0.481538900	0.006372047	0.024572220	0.000003414	0.698692700	0.000404917	0.000026498
00:00:00.666	0.454377000	0.006013342	0.021111950	0.000003177	0.741946500	0.000440630	0.000022650
00:00:00.733	0.455835600	0.005945156	0.016834680	0.000002719	0.795684500	0.000410447	0.000017764
00:00:00.800	0.462986400	0.005753103	0.013910590	0.000002293	0.830906200	0.000421075	0.000014097
00:00:00.866	0.464472000	0.005681010	0.012481690	0.000002247	0.848300700	0.000416515	0.000012420
00:00:00.933	0.468217400	0.005583607	0.010590550	0.000002086	0.870613800	0.000444186	0.000010343
00:00:01.000	0.472797100	0.005094451	0.008431981	0.000002091	0.892754600	0.000532873	0.000008015
00:00:01.066	0.477162500	0.004853521	0.007343081	0.000001928	0.902763900	0.000593571	0.000007017
00:00:01.133	0.480883200	0.004495216	0.006152044	0.000001978	0.912930900	0.000696649	0.000005833
00:00:01.200	0.485569000	0.004308205	0.005548408	0.000001970	0.914357700	0.000754005	0.000005145
00:00:01.266	0.487683300	0.004144544	0.004663989	0.000002050	0.923118500	0.000776080	0.000004239
00:00:01.333	0.414835400	0.003477215	0.003739369	0.000002600	0.938025000	0.000997925	0.000003424
00:00:01.400	0.410081000	0.003411375	0.003451260	0.000002597	0.943895500	0.000927779	0.000003074
00:00:01.466	0.424780500	0.003761907	0.003270222	0.000002411	0.951166300	0.000771652	0.000002440
00:00:01.533	0.437571600	0.004256737	0.003220796	0.000002311	0.953611500	0.000687491	0.000002015
00:00:01.600	0.443689600	0.004341265	0.003090286	0.000002184	0.956173200	0.000669887	0.000001767
00:00:01.666	0.451771400	0.004428262	0.002819925	0.000002091	0.959081000	0.000640433	0.000001509
00:00:01.733	0.457311100	0.004465501	0.002679742	0.000002016	0.957496500	0.000614660	0.000001354
00:00:01.800	0.459572000	0.004534810	0.002541216	0.000001962	0.959434100	0.000587848	0.000001204
00:00:01.866	0.464004400	0.004649585	0.002486860	0.000001835	0.959103600	0.000565680	0.000001124
00:00:01.933	0.445405700	0.004682908	0.002176911	0.000001702	0.965551000	0.000517334	0.000000955
00:00:02.000	0.439877200	0.005087656	0.002085676	0.000001590	0.967610200	0.000468494	0.000000890
00:00:02.066	0.428869700	0.005283684	0.001966334	0.000001601	0.970522800	0.000437086	0.000000830
00:00:02.133	0.408706000	0.005639517	0.001782679	0.000001512	0.974673600	0.000399798	0.000000748
00:00:02.200	0.372011000	0.005599512	0.001620142	0.000001692	0.978508600	0.000369072	0.000000638
00:00:02.266	0.341005200	0.005376798	0.001420552	0.000001873	0.981414200	0.000363484	0.000000572
00:00:02.333	0.290372800	0.004986687	0.001252033	0.000001702	0.985563800	0.000350835	0.000000472
00:00:02.400	0.296204600	0.005113076	0.001279329	0.000001485	0.986905900	0.000345509	0.000000477
00:00:02.466	0.302358400	0.005383580	0.001280904	0.000001471	0.988173600	0.000321360	0.000000436
00:00:02.533	0.311409300	0.005570963	0.001370316	0.000001330	0.988805800	0.000322772	0.000000433
00:00:02.600	0.332284800	0.005637920	0.001472891	0.000001207	0.988459700	0.000339054	0.000000452
00:00:02.666	0.353971400	0.005507740	0.001893880	0.000001113	0.984424500	0.000366211	0.000000488
