Video analysis detailed log

Face Model:	General
Calibration:	None
Start time:	30/11/2023 11:33:56.144
Filename:	\Recorded Videos\Participant 2_Analysis 1_20231130_113356.avi
Frame rate:	15

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted
00:00:00.000	0.274139100	0.043901720	0.722480200	0.000000030	0.002003464	0.000012965	0.000044095
00:00:00.066	0.271625900	0.044213290	0.734989800	0.000000028	0.001978304	0.000012715	0.000044386
00:00:00.133	0.269112700	0.044524860	0.747499300	0.000000027	0.001953144	0.000012466	0.000044676
00:00:00.200	0.243816300	0.044028210	0.785905800	0.000000025	0.001997886	0.000011839	0.000040575
00:00:00.266	0.234034800	0.045928060	0.812461300	0.000000023	0.002144768	0.000011272	0.000037843
00:00:00.333	0.222552600	0.047853020	0.836049100	0.000000023	0.002186203	0.000010707	0.000035351
00:00:00.400	0.202806500	0.052544710	0.857278400	0.000000024	0.002047586	0.000011000	0.000033724
00:00:00.466	0.186763300	0.055231710	0.870640800	0.000000026	0.001878707	0.000011709	0.000033151
00:00:00.533	0.175106000	0.061097690	0.893332400	0.000000035	0.001699247	0.000010602	0.000029050
00:00:00.600	0.170314200	0.060668770	0.908488000	0.000000038	0.001594772	0.000014282	0.000030613
00:00:00.666	0.202640400	0.052954090	0.842539500	0.000000043	0.002180248	0.024771920	0.000034733
00:00:00.733	0.228489000	0.048562670	0.865986100	0.000000093	0.001898355	0.018891140	0.000036985
00:00:00.800	0.261285200	0.055696600	0.859734100	0.000000107	0.001935506	0.016513600	0.000034161
00:00:00.866	0.273255200	0.062055630	0.865823100	0.000000140	0.001688150	0.013047330	0.000034801
00:00:00.933	0.291624700	0.069708440	0.870468600	0.000000139	0.001522843	0.010491890	0.000033937
00:00:01.000	0.295701600	0.077027250	0.881243800	0.000000132	0.001353782	0.008564283	0.000031707
00:00:01.066	0.301912100	0.081572630	0.886512900	0.000000127	0.001284932	0.007668549	0.000030207
00:00:01.133	0.305744200	0.087247060	0.893795700	0.000000117	0.001175031	0.006185741	0.000028663
00:00:01.200	0.305447700	0.091749900	0.907231400	0.000000108	0.001101266	0.004770904	0.000026585
00:00:01.266	0.298690800	0.091413540	0.917058200	0.000000104	0.001123829	0.003803034	0.000024337
00:00:01.333	0.294345000	0.093108330	0.924115400	0.000000110	0.001105755	0.003315059	0.000021980
00:00:01.400	0.303849700	0.097816890	0.930299700	0.000000108	0.001255699	0.002595404	0.000018660
00:00:01.466	0.309515600	0.100854700	0.932378800	0.000000107	0.001283089	0.002317179	0.000017559
00:00:01.533	0.324414100	0.100978100	0.930412200	0.000000112	0.001271938	0.001864024	0.000017530
00:00:01.600	0.324653500	0.103090900	0.934300100	0.000000120	0.001241462	0.001503954	0.000017967
00:00:01.666	0.327941800	0.113466700	0.939205800	0.000000133	0.001145845	0.001202769	0.000017422
00:00:01.733	0.322539800	0.116156500	0.941983900	0.000000150	0.001066003	0.000973576	0.000018163
00:00:01.800	0.322560600	0.125879300	0.945650200	0.000000165	0.000991982	0.000799838	0.000017986
00:00:01.866	0.320277200	0.131221000	0.949778500	0.000000161	0.000955530	0.000637859	0.000018422
00:00:01.933	0.319852900	0.140506900	0.953597300	0.000000166	0.000896365	0.000524138	0.000017943
00:00:02.000	0.318211800	0.139387600	0.953409000	0.000000164	0.000883410	0.000429470	0.000019400
00:00:02.066	0.328009300	0.141878900	0.948963700	0.000000170	0.000837482	0.000350161	0.000020201
00:00:02.133	0.335619500	0.138372000	0.942417100	0.000000171	0.000825826	0.000306676	0.000021750
00:00:02.200	0.343165000	0.135293600	0.936649500	0.000000174	0.000799674	0.000241673	0.000024162
00:00:02.266	0.356873900	0.131697700	0.925326000	0.000000169	0.000821124	0.000194150	0.000026093
00:00:02.333	0.372734300	0.131455500	0.913599800	0.000000165	0.000849546	0.000159936	0.000026918
00:00:02.400	0.375273400	0.121345100	0.907376500	0.000000159	0.000859064	0.000132687	0.000031088
00:00:02.466	0.372308100	0.120603800	0.909987300	0.000000156	0.000845378	0.000108496	0.000031786
00:00:02.533	0.369319700	0.120623200	0.911666100	0.000000154	0.000818691	0.000095929	0.000032832
00:00:02.600	0.372470700	0.128582300	0.913589800	0.000000157	0.000784181	0.000078015	0.000031991
00:00:02.666	0.365729900	0.121771000	0.915796800	0.000000155	0.000751030	0.000066065	0.000036235
00:00:02.733	0.360398100	0.121884800	0.922694400	0.000000157	0.000788673	0.000052507	0.000034104
00:00:02.800	0.363662000	0.131747100	0.926872400	0.000000160	0.000811184	0.000043106	0.000031866
00:00:02.866	0.365197900	0.133343600	0.927413900	0.000000159	0.000837700	0.000039047	0.000031247
00:00:02.933	0.374361600	0.130024000	0.922309600	0.000000152	0.000964057	0.000031584	0.000031346
00:00:03.000	0.378265900	0.136837500	0.923474500	0.000000154	0.000984509	0.000026001	0.000030443
00:00:03.066	0.375385800	0.140603400	0.928760700	0.000000153	0.000991817	0.000021446	0.000029146
00:00:03.133	0.373747100	0.142419600	0.930732500	0.000000150	0.000988444	0.000018060	0.000028910
00:00:03.200	0.374046100	0.146619000	0.933046300	0.000000147	0.000983405	0.000016260	0.000028111
00:00:03.266	0.379725100	0.151655100	0.931004300	0.000000148	0.000973104	0.000013248	0.000027553
00:00:03.333	0.391479400	0.154938000	0.926224600	0.000000147	0.001054889	0.000010884	0.000025749
00:00:03.400	0.394701500	0.154792000	0.922406900	0.000000145	0.001055789	0.000010014	0.000026311
00:00:03.466	0.405942600	0.154804200	0.917269300	0.000000145	0.001095251	0.000008453	0.000024860
00:00:03.533	0.411182800	0.155363400	0.915901000	0.000000138	0.001078530	0.000007291	0.000024417
00:00:03.600	0.411110300	0.156088100	0.913527100	0.000000140	0.001037636	0.000006638	0.000023417
00:00:03.666	0.409062900	0.153653200	0.914432900	0.000000138	0.001047250	0.000006280	0.000022473
00:00:03.733	0.405309100	0.152721600	0.915225900	0.000000133	0.001116129	0.000005662	0.000021275
00:00:03.800	0.410042700	0.151157300	0.909178800	0.000000125	0.001188075	0.000005391	0.000020337
00:00:03.866	0.419445900	0.152862000	0.902237100	0.000000119	0.001204164	0.000005108	0.000019554
00:00:03.933	0.420449400	0.151068400	0.899082000	0.000000117	0.001162744	0.000005106	0.000019688
00:00:04.000	0.423660200	0.145278700	0.894231400	0.000000113	0.001205124	0.000005042	0.000019922
00:00:04.066	0.420307800	0.137592700	0.891532000	0.000000115	0.001283875	0.000004692	0.000018679
00:00:04.133	0.420933800	0.133486600	0.887058100	0.000000115	0.001281255	0.000004840	0.000018590
00:00:04.200	0.415987000	0.130710000	0.889699000	0.000000121	0.001288793	0.000004586	0.000017773
00:00:04.266	0.410547000	0.130305400	0.893687100	0.000000124	0.001327433	0.000004347	0.000017087
00:00:04.333	0.408671400	0.124970900	0.892144200	0.000000133	0.001334635	0.000004475	0.000017162
00:00:04.400	0.417890200	0.116611700	0.880208400	0.000000129	0.001432132	0.000007802	0.000021223
00:00:04.466	0.418221500	0.096279610	0.864048200	0.000000144	0.001437920	0.000028944	0.000037575
00:00:04.533	0.434327600	0.093557470	0.840330700	0.000000164	0.001422841	0.000024295	0.000034454
00:00:04.600	0.452391900	0.095479060	0.810590000	0.000000194	0.001346272	0.000020667	0.000031178
00:00:04.666	0.453250700	0.099773920	0.804070400	0.000000216	0.001259199	0.000018802	0.000029447
00:00:04.733	0.473772000	0.103430000	0.780798600	0.000000222	0.001273193	0.000015956	0.000026225
